,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Non Current Deferred Taxes Liabilities,462000000.0,247000000.0,245000000.0,241000000.0
Long Term Debt And Capital Lease Obligation,9578000000.0,10605000000.0,11687000000.0,6598000000.0
Long Term Capital Lease Obligation,1119000000.0,902000000.0,741000000.0,634000000.0
Long Term Debt,8459000000.0,9703000000.0,10946000000.0,5964000000.0
Current Liabilities,10631000000.0,6563000000.0,4335000000.0,3925000000.0
Other Current Liabilities,199000000.0,69000000.0,371000000.0,510000000.0
Current Deferred Liabilities,764000000.0,354000000.0,300000000.0,288000000.0
Current Deferred Revenue,764000000.0,354000000.0,300000000.0,288000000.0
Current Debt And Capital Lease Obligation,1478000000.0,1426000000.0,144000000.0,999000000.0
Current Capital Lease Obligation,228000000.0,176000000.0,144000000.0,121000000.0
Current Debt,1250000000.0,1250000000.0,,999000000.0
Other Current Borrowings,1250000000.0,1250000000.0,,999000000.0
Current Provisions,415000000.0,108000000.0,,
Payables And Accrued Expenses,7775000000.0,4606000000.0,3520000000.0,2128000000.0
Current Accrued Expenses,4780000000.0,2946000000.0,1605000000.0,979000000.0
Interest Payable,,,,74000000.0
Payables,2995000000.0,1660000000.0,1915000000.0,1149000000.0
Total Tax Payable,296000000.0,467000000.0,132000000.0,61000000.0
Accounts Payable,2699000000.0,1193000000.0,1783000000.0,1149000000.0
Total Assets,65728000000.0,41182000000.0,44187000000.0,28791000000.0
Total Non Current Assets,21383000000.0,18109000000.0,15358000000.0,12736000000.0
Other Non Current Assets,132000000.0,145000000.0,66000000.0,203000000.0
Non Current Prepaid Assets,2822000000.0,3376000000.0,3509000000.0,1797000000.0
Non Current Deferred Assets,6081000000.0,3396000000.0,1222000000.0,806000000.0
Non Current Deferred Taxes Assets,6081000000.0,3396000000.0,1222000000.0,806000000.0
Investments And Advances,1546000000.0,299000000.0,266000000.0,144000000.0
Other Investments,1546000000.0,299000000.0,266000000.0,144000000.0
Goodwill And Other Intangible Assets,5542000000.0,6048000000.0,6688000000.0,6930000000.0
Other Intangible Assets,1112000000.0,1676000000.0,2339000000.0,2737000000.0
Goodwill,4430000000.0,4372000000.0,4349000000.0,4193000000.0
Net PPE,5260000000.0,4845000000.0,3607000000.0,2856000000.0
Accumulated Depreciation,-3509000000.0,-2694000000.0,-1903000000.0,-1408000000.0
Gross PPE,8769000000.0,7539000000.0,5510000000.0,4264000000.0
Leases,,,,385000000.0
Construction In Progress,189000000.0,382000000.0,737000000.0,558000000.0
Other Properties,1346000000.0,1038000000.0,829000000.0,707000000.0
Machinery Furniture Equipment,5200000000.0,4303000000.0,2852000000.0,1985000000.0
Buildings And Improvements,1816000000.0,1598000000.0,874000000.0,796000000.0
Land And Improvements,218000000.0,218000000.0,218000000.0,218000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,44345000000.0,23073000000.0,28829000000.0,16055000000.0
Other Current Assets,3080000000.0,791000000.0,366000000.0,239000000.0
Prepaid Assets,,,366000000.0,239000000.0
Inventory,5282000000.0,5159000000.0,2605000000.0,1826000000.0
Finished Goods,2058000000.0,2263000000.0,1122000000.0,737000000.0
Work In Process,1505000000.0,466000000.0,692000000.0,457000000.0
Raw Materials,1719000000.0,2430000000.0,791000000.0,632000000.0
Receivables,9999000000.0,3827000000.0,4650000000.0,2429000000.0
Accounts Receivable,9999000000.0,3827000000.0,4650000000.0,2429000000.0
Allowance For Doubtful Accounts Receivable,,,,-21000000.0
Gross Accounts Receivable,,,,2450000000.0
Cash Cash Equivalents And Short Term Investments,25984000000.0,13296000000.0,21208000000.0,11561000000.0
Other Short Term Investments,18704000000.0,9907000000.0,19218000000.0,10714000000.0
Cash And Cash Equivalents,7280000000.0,3389000000.0,1990000000.0,847000000.0
